region,site,date,detection_type,species_capture,bd_swab_id,crispr_id
pennsylvania,vorisek_pond,2022-06-27,capture,rana_clamitans,dryswab00028,crswab00017
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00025,crswab00014
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00026,crswab00015
pennsylvania,vorisek_pond,2022-06-27,capture,rana_clamitans,dryswab00032,crswab00021
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00015,crswab00004
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00012,crswab00001
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00021,crswab00010
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00017,crswab00006
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00018,crswab00007
pennsylvania,vorisek_pond,2022-06-27,capture,rana_clamitans,dryswab00031,crswab00020
pennsylvania,vorisek_pond,2022-06-27,capture,rana_clamitans,dryswab00030,crswab00019
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00023,crswab00012
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00024,crswab00013
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00020,crswab00009
pennsylvania,vorisek_pond,2022-06-27,capture,rana_clamitans,dryswab00033,crswab00022
pennsylvania,vorisek_pond,2022-06-27,capture,rana_clamitans,dryswab00029,crswab00018
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00022,crswab00011
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00019,crswab00008
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00014,crswab00003
pennsylvania,vorisek_pond,2022-06-27,capture,rana_catesbeiana,dryswab00013,crswab00002
pennsylvania,vorisek_pond,2022-06-27,capture,rana_clamitans,dryswab00034,crswab00023
pennsylvania,vorisek_pond,2022-06-27,capture,rana_clamitans,dryswab00027,crswab00016
pennsylvania,vorisek_pond,2022-06-28,capture,rana_clamitans,dryswab00035,crswab00024
pennsylvania,vorisek_pond,2022-06-28,capture,rana_catesbeiana,dryswab00038,crswab00027
pennsylvania,vorisek_pond,2022-06-28,capture,rana_catesbeiana,dryswab00036,crswab00025
pennsylvania,vorisek_pond,2022-06-28,capture,rana_catesbeiana,dryswab00037,crswab00026
pennsylvania,vorisek_pond,2022-06-28,capture,rana_catesbeiana,dryswab00039,crswab00028
pennsylvania,rv_pond,2022-07-11,capture,Rana_catesbeiana_x_Rana_clamitans_(possibly),dryswab00053,crswab00042
pennsylvania,rv_pond,2022-07-11,capture,rana_clamitans,dryswab00054,crswab00043
pennsylvania,rv_pond,2022-07-11,capture,rana_catesbeiana,dryswab00049,crswab00038
pennsylvania,rv_pond,2022-07-12,capture,rana_catesbeiana,dryswab00066,crswab00055
pennsylvania,rv_pond,2022-07-12,capture,rana_catesbeiana,dryswab00082,crswab00071
pennsylvania,tuttle_pond,2022-07-18,capture,rana_catesbeiana,dryswab00102,crswab00091
pennsylvania,rv_pond,2022-07-12,capture,rana_catesbeiana,dryswab00074,crswab00063
pennsylvania,rv_pond,2022-07-12,capture,rana_catesbeiana,dryswab00085,crswab00074
pennsylvania,rv_pond,2022-07-12,capture,rana_catesbeiana,dryswab00065,crswab00054
pennsylvania,rv_pond,2022-07-12,capture,rana_catesbeiana,dryswab00080,crswab00069
pennsylvania,rv_pond,2022-07-12,capture,rana_catesbeiana,dryswab00091,crswab00079
pennsylvania,rv_pond,2022-07-12,capture,rana_catesbeiana,dryswab00071,crswab00060
pennsylvania,rv_pond,2022-07-12,capture,rana_catesbeiana,dryswab00070,crswab00059
pennsylvania,rv_pond,2022-07-12,capture,rana_catesbeiana,dryswab00062,crswab00051
pennsylvania,rv_pond,2022-07-12,capture,rana_catesbeiana,dryswab00087,crswab00076
pennsylvania,rv_pond,2022-07-12,capture,rana_catesbeiana,dryswab00077,crswab00066
